481.08 , 728.46 , 79.32 , 401.76
345.76 , 570.40 , 89.45 , 256.31
211.52 , 410.93 , 79.87 , 131.65
225.24 , 404.45 , 76.41 , 148.83
197.60 , 398.02 , 80.56 , 117.04
169.51 , 331.69 , 91.60 , 77.91
154.86 , 266.15 , 83.50 , 71.37
187.67 , 200.82 , 91.85 , 95.82
165.03 , 332.67 , 102.46 , 62.56
138.66 , 328.41 , 91.56 , 47.10
132.22 , 324.29 , 81.10 , 51.12
150.99 , 269.87 , 70.01 , 80.98
152.19 , 216.07 , 69.36 , 82.83
557.43 , 203.58 , 301.86 , 255.57
565.44 , 206.82 , 287.10 , 278.34
136.97 , 198.88 , 90.84 , 46.13
632.52 , 192.04 , 55.03 , 577.49
428.72 , 188.96 , 53.83 , 374.88
405.71 , 186.34 , 52.20 , 353.50
371.03 , 183.72 , 51.15 , 319.88
193.18 , 181.24 , 50.31 , 142.87
153.27 , 178.90 , 50.12 , 103.15
138.50 , 176.10 , 49.83 , 88.67
168.87 , 173.20 , 51.19 , 117.67
177.01 , 170.05 , 57.13 , 119.88
132.42 , 166.96 , 58.04 , 74.38
175.76 , 163.38 , 64.65 , 111.11
189.76 , 159.73 , 66.01 , 123.75
152.63 , 156.32 , 72.06 , 80.57
172.31 , 152.48 , 100.69 , 71.62
168.79 , 148.49 , 108.83 , 59.96
176.19 , 144.55 , 329.33 , -153.15
203.83 , 139.11 , 556.09 , -352.26
245.33 , 132.52 , 777.15 , -531.82
263.76 , 125.71 , 970.73 , -706.97
489.63 , 118.71 , 1189.59 , -699.97
665.53 , 112.10 , 1039.28 , -373.74
841.62 , 107.54 , 888.13 , -46.51
1017.66 , 104.46 , 737.32 , 280.34
1193.55 , 102.67 , 586.39 , 607.16
1193.49 , 101.90 , 586.38 , 607.11
1193.54 , 101.75 , 510.38 , 683.16
1193.63 , 101.74 , 434.71 , 758.93
1193.60 , 101.82 , 358.52 , 835.07
1193.56 , 101.82 , 282.51 , 911.05
1193.55 , 101.81 , 55.62 , 1137.93
1193.56 , 101.72 , 55.51 , 1138.05
1193.52 , 101.72 , 55.43 , 1138.09
1193.50 , 101.63 , 55.60 , 1137.90
1193.59 , 101.73 , 55.77 , 1137.82
1193.66 , 101.73 , 55.76 , 1137.90
1193.67 , 101.81 , 55.87 , 1137.80
1193.68 , 101.81 , 56.12 , 1137.57
1193.72 , 101.89 , 56.37 , 1137.35
1193.69 , 101.89 , 56.37 , 1137.32
1193.66 , 101.89 , 56.54 , 1137.13
1193.69 , 101.80 , 56.52 , 1137.17
1193.70 , 101.82 , 56.34 , 1137.36
1193.71 , 101.74 , 56.17 , 1137.54
1193.77 , 101.74 , 56.32 , 1137.45
1193.84 , 101.76 , 56.32 , 1137.52
1193.84 , 101.86 , 56.34 , 1137.50
1193.89 , 101.84 , 56.33 , 1137.56
