1191.72 , 12.52 , 29.36 , 1162.35 , 1162.84 , 11623.55 , 32.73 , -9.61 , 11646.67
1191.74 , 11.46 , 30.00 , 1161.74 , 1162.35 , 11617.41 , 38.54 , -12.40 , 11643.54
1191.72 , 247.92 , 31.14 , 1160.58 , 1161.74 , 11605.78 , 44.34 , -23.25 , 11626.87
1191.69 , 248.23 , 32.69 , 1159.00 , 1160.58 , 11589.97 , 50.13 , -18.49 , 11621.61
1191.65 , 249.25 , 34.49 , 1157.16 , 1159.00 , 11571.59 , 55.92 , -36.41 , 11591.10
1191.62 , 248.83 , 36.77 , 1154.86 , 1157.16 , 11548.57 , 61.69 , -45.13 , 11565.14
1191.60 , 485.36 , 39.75 , 1151.86 , 1154.86 , 11518.56 , 67.45 , -59.43 , 11526.58
1191.61 , 250.29 , 42.45 , 1149.16 , 1151.86 , 11491.56 , 73.20 , -31.39 , 11533.38
1191.68 , 250.29 , 45.29 , 1146.39 , 1149.16 , 11463.92 , 78.93 , -54.21 , 11488.64
1191.72 , 250.60 , 48.12 , 1143.60 , 1146.39 , 11436.03 , 84.65 , -54.15 , 11466.53
1191.74 , 486.70 , 51.16 , 1140.57 , 1143.60 , 11405.74 , 90.35 , -59.39 , 11436.71
1191.76 , 251.03 , 53.91 , 1137.84 , 1140.57 , 11378.44 , 96.04 , -31.75 , 11442.74
1191.77 , 249.69 , 56.79 , 1134.98 , 1137.84 , 11349.77 , 101.72 , -55.68 , 11395.80
1191.77 , 248.87 , 59.71 , 1132.06 , 1134.98 , 11320.61 , 107.38 , -56.07 , 11371.92
1191.82 , 247.96 , 62.54 , 1129.28 , 1132.06 , 11292.83 , 113.02 , -53.95 , 11351.90
1191.82 , 247.94 , 61.63 , 1130.19 , 1129.28 , 11301.88 , 118.67 , 17.25 , 11437.81
1191.79 , 483.61 , 60.46 , 1131.33 , 1130.19 , 11313.31 , 124.33 , 13.28 , 11450.92
1191.78 , 720.05 , 59.39 , 1132.39 , 1131.33 , 11323.91 , 129.99 , 12.40 , 11466.29
1191.76 , 956.31 , 58.77 , 1132.99 , 1132.39 , 11329.87 , 135.66 , 6.94 , 11472.47
1010.74 , 956.68 , 57.91 , 952.84 , 1132.99 , 9528.37 , 140.42 , -2107.02 , 7561.77
829.27 , 720.23 , 60.56 , 768.71 , 952.84 , 7687.08 , 144.27 , -4137.73 , 3693.61
647.23 , 483.84 , 63.44 , 583.79 , 768.71 , 5837.93 , 147.18 , -4300.34 , 1684.77
464.68 , 247.87 , 66.42 , 398.26 , 583.79 , 3982.61 , 149.18 , -4314.70 , -182.92
281.66 , 11.82 , 68.82 , 212.85 , 398.26 , 2128.45 , 150.24 , -4311.99 , -2033.30
279.22 , 11.43 , 71.37 , 207.85 , 212.85 , 2078.48 , 151.28 , -114.89 , 2114.87
276.99 , 11.78 , 73.66 , 203.33 , 207.85 , 2033.30 , 152.30 , -107.55 , 2078.05
275.21 , 13.17 , 75.73 , 199.47 , 203.33 , 1994.72 , 153.29 , -91.88 , 2056.13
273.61 , 13.41 , 77.44 , 196.17 , 199.47 , 1961.69 , 154.27 , -79.59 , 2036.37
272.29 , 13.86 , 78.89 , 193.39 , 196.17 , 1933.94 , 155.24 , -66.07 , 2023.11
455.63 , 249.99 , 80.62 , 375.01 , 193.39 , 3750.12 , 157.12 , 4376.35 , 8283.59
454.74 , 250.53 , 82.10 , 372.64 , 375.01 , 3726.39 , 158.98 , -27.92 , 3857.44
453.44 , 249.53 , 83.34 , 370.10 , 372.64 , 3700.97 , 160.83 , -59.80 , 3802.00
452.29 , 249.79 , 84.54 , 367.75 , 370.10 , 3677.54 , 162.67 , -55.78 , 3784.43
451.08 , 249.86 , 85.71 , 365.37 , 367.75 , 3653.67 , 164.50 , -56.84 , 3761.32
265.84 , 14.70 , 86.49 , 179.35 , 365.37 , 1793.51 , 165.39 , -4428.95 , -2470.04
264.65 , 14.21 , 87.45 , 177.20 , 179.35 , 1771.97 , 166.28 , -49.52 , 1888.73
263.62 , 14.12 , 88.61 , 175.00 , 177.20 , 1750.02 , 167.15 , -52.90 , 1864.28
262.37 , 13.71 , 89.94 , 172.44 , 175.00 , 1724.36 , 168.02 , -61.82 , 1830.56
261.03 , 13.61 , 91.40 , 169.63 , 172.44 , 1696.27 , 168.86 , -67.69 , 1797.44
259.07 , 12.40 , 92.97 , 166.10 , 169.63 , 1661.01 , 169.69 , -83.95 , 1746.75
257.09 , 247.28 , 95.09 , 162.00 , 166.10 , 1620.02 , 170.50 , -98.77 , 1691.76
255.02 , 247.43 , 88.01 , 167.01 , 162.00 , 1670.10 , 171.34 , 87.86 , 1929.30
253.08 , 247.69 , 89.82 , 163.25 , 167.01 , 1632.54 , 172.16 , -90.50 , 1714.20
251.61 , 247.30 , 91.57 , 160.04 , 163.25 , 1600.44 , 172.96 , -76.44 , 1696.95
250.40 , 247.83 , 84.31 , 166.09 , 160.04 , 1660.94 , 173.79 , 142.37 , 1977.10
249.19 , 13.70 , 76.01 , 173.17 , 166.09 , 1731.74 , 174.65 , 168.56 , 2074.95
248.16 , 14.01 , 77.18 , 170.99 , 173.17 , 1709.89 , 175.51 , -52.65 , 1832.75
247.19 , 13.94 , 69.02 , 178.17 , 170.99 , 1781.71 , 176.40 , 173.07 , 2131.18
245.86 , 14.50 , 60.96 , 184.90 , 178.17 , 1849.01 , 177.32 , 160.23 , 2186.56
244.65 , 249.12 , 71.69 , 172.96 , 184.90 , 1729.65 , 178.19 , -287.62 , 1620.21
243.84 , 248.31 , 85.46 , 158.38 , 172.96 , 1583.84 , 178.98 , -251.40 , 1511.42
243.30 , 247.79 , 98.72 , 144.58 , 158.38 , 1445.81 , 179.70 , -320.98 , 1304.53
243.00 , 247.92 , 112.16 , 130.84 , 144.58 , 1308.41 , 180.36 , -323.31 , 1165.46
243.13 , 247.72 , 125.37 , 117.75 , 130.84 , 1177.52 , 180.95 , -304.39 , 1054.07
